country,iso3,presentation_count
United States,USA,675
Germany,DEU,76
Japan,JPN,70
South Korea,KOR,69
Canada,CAN,50
United Kingdom,GBR,36
Italy,ITA,25
France,FRA,22
Australia,AUS,21
Spain,ESP,20
Switzerland,CHE,17
China,CHN,16
Taiwan,TWN,15
Hong Kong,HKG,9
Netherlands,NLD,5
Finland,FIN,4
India,IND,4
Belgium,BEL,3
Austria,AUT,3
Sweden,SWE,2
Mexico,MEX,2
Israel,ISR,2
Norway,NOR,1
Ireland,IRL,1
Brazil,BRA,1
